date,symbol,open,high,low,close,volume
2024-01-02,AAPL,185.23,186.45,184.12,185.92,45678900
2024-01-02,GOOGL,140.12,141.89,139.56,141.23,23456780
2024-01-02,MSFT,375.45,378.23,374.12,377.56,34567890
2024-01-02,AMZN,151.23,153.45,150.89,152.78,28945670
2024-01-02,TSLA,248.56,252.34,246.78,250.12,67890123
2024-01-03,AAPL,186.12,188.34,185.67,187.89,48765432
2024-01-03,GOOGL,141.45,143.67,140.89,142.56,25678901
2024-01-03,MSFT,378.12,380.45,376.89,379.23,36789012
2024-01-03,AMZN,153.12,155.34,152.45,154.67,30123456
2024-01-03,TSLA,251.23,255.67,249.89,253.45,71234567
2024-01-04,AAPL,188.23,190.45,187.12,189.78,52345678
2024-01-04,GOOGL,142.89,145.12,142.34,144.56,27890123
2024-01-04,MSFT,379.56,382.34,378.45,381.12,38901234
2024-01-04,AMZN,155.23,157.45,154.12,156.89,32345678
2024-01-04,TSLA,254.12,258.34,252.67,256.78,74567890
2024-01-05,AAPL,190.12,192.34,189.45,191.67,55678901
2024-01-05,GOOGL,144.78,147.23,144.12,146.45,29012345
2024-01-05,MSFT,381.45,384.67,380.23,383.56,40123456
2024-01-05,AMZN,157.12,159.34,156.45,158.78,34567890
2024-01-05,TSLA,257.34,261.23,255.89,259.67,77890123
